K,topic_id,words
15,10,"trump, fuck, doctor, #fucktrump, traitor, #trumpisatraitor, shame, dhoni, johnson, pm"
15,11,"trump, doctor, fuck, traitor, #fucktrump, #trumpisatraitor, shame, dhoni, icc, johnson"
15,12,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, johnson, dhoni, shame, #dickhead"
15,13,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, dhoni, johnson, pm, shame"
15,14,"trump, doctor, fuck, #fucktrump, traitor, #trumpisatraitor, johnson, day, shame, dhoni"
20,0,"trump, dhoni, doctor, icc, #trumpisatraitor, fuck, back, traitor, glove, #douchebag"
20,1,"trump, doctor, icc, fuck, dhoni, #trumpisatraitor, back, #murderer, murderer, traitor"
20,2,"trump, doctor, dhoni, icc, fuck, #trumpisatraitor, back, traitor, #fucktrump, johnson"
20,3,"trump, doctor, dhoni, fuck, back, #trumpisatraitor, icc, traitor, #fucktrump, nrsmch"
20,4,"trump, doctor, icc, dhoni, back, fuck, #trumpisatraitor, traitor, #fucktrump, resignation"
20,5,"trump, doctor, icc, dhoni, #trumpisatraitor, back, fuck, traitor, natural, verse"
20,6,"trump, doctor, dhoni, #trumpisatraitor, icc, back, traitor, #fucktrump, oral, impeach"
20,7,"trump, doctor, dhoni, icc, #trumpisatraitor, fuck, back, traitor, america, vote"
20,8,"trump, doctor, dhoni, icc, back, fuck, #trumpisatraitor, traitor, #unfollowtrump, tournament"
20,9,"trump, dhoni, doctor, icc, #trumpisatraitor, fuck, back, traitor, #cwc, #trump"
20,10,"trump, doctor, dhoni, #trumpisatraitor, icc, back, fuck, traitor, #fucktrump, mccain"
20,11,"trump, doctor, dhoni, icc, back, #trumpisatraitor, fuck, traitor, balidan, #fucktrump"
20,12,"trump, doctor, dhoni, icc, back, fuck, #trumpisatraitor, #fucktrump, traitor, law"
20,13,"trump, doctor, dhoni, icc, #trumpisatraitor, back, fuck, traitor, #fucktrump, put"
20,14,"trump, doctor, dhoni, icc, #trumpisatraitor, fuck, back, traitor, fucking, #fucktrump"
20,15,"trump, doctor, #trumpisatraitor, icc, back, dhoni, traitor, fuck, projection, russians"
20,16,"trump, doctor, dhoni, icc, #trumpisatraitor, back, douchebag, #douchebag, fuck, traitor"
20,17,"trump, doctor, icc, #trumpisatraitor, dhoni, back, shame, #shameonicc, fuck, impeach"
20,18,"trump, doctor, dhoni, icc, fuck, #dickhead, dickhead, back, #trumpisatraitor, #fucktrump"
20,19,"trump, icc, dhoni, doctor, #trumpisatraitor, fuck, back, traitor, #fucktrump, india"
