iterations,passes,topic_id,top_words
100,100,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, lie, resist, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, #resist, shit, crime, resign"
100,100,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, today, celebrate, hero, call, #johnmccaindayjune, man, abuse, ass, country, honor, gandi"
100,100,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, #cdebate, make, show, douchebag, contest, #douchebag, #brexit, turn, time"
100,100,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, india, west, lose, #doctorsstrike, hospital, cm, #savebengal, stand, banerjee"
100,100,5,"icc, shame, #shameonicc, world, rain, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, pak, play, #worldcup"
100,100,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, india, balidaan, wear, desh, cricket, army, #dhonikeeptheglove, #dhonikesaathdesh, dear, country, #indiawithdhoni, remove, pakistan, support, logo"
100,100,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, murder, away, twitter, kill, killer, nicole, find, ron, tweet, knife, year, police, man, long"
100,100,8,"douchebag, #douchebag, love, call, hey, abuse, guy, make, work, leave, put, gandi, naali, hypocrite, vote, #gandinaaliabuse, england, congress, pathetic, party"
100,100,9,"dickhead, #dickhead, time, guy, continue, turn, fuck, year, make, write, beat, china, call, follow, racist, final, victim, opinion, give, place"
100,100,10,"rapist, #rapist, rape, child, victim, woman, racist, justice, case, human, act, pedophile, sexual, #rape, alabama, predator, #racist, year, twitter, muslim"
100,100,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, country, call, party, language, muslim, parliament, learn, make, insult, india, show, police, delhi"
200,50,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, resist, lie, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, idiot, #resist, impeachment, crime"
200,50,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, celebrate, today, fuck, call, man, ass, hero, #johnmccaindayjune, put, long, honor"
200,50,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, make, #cdebate, show, contest, turn, #brexit, time, vote, bother"
200,50,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, west, india, #doctorsstrike, lose, hospital, cm, #savebengal, stand, bjp"
200,50,5,"icc, shame, #shameonicc, rain, world, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, play, pak, fan"
200,50,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, balidaan, india, wear, desh, #dhonikeeptheglove, army, cricket, #dhonikesaathdesh, dear, #indiawithdhoni, remove, country, support, logo, pakistan"
200,50,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, away, twitter, murder, killer, kill, nicole, find, ron, knife, police, tweet, forget, year, liar"
200,50,8,"douchebag, #douchebag, love, hey, make, call, guy, abuse, put, work, leave, gandi, naali, hypocrite, england, hear, vote, fan, #gandinaaliabuse, watch"
200,50,9,"dickhead, #dickhead, time, guy, continue, fuck, turn, rapist, write, racist, year, victim, make, #rapist, china, call, win, beat, follow, final"
200,50,10,"rapist, #rapist, rape, child, victim, woman, justice, case, racist, muslim, human, act, pedophile, alabama, #rape, sexual, predator, #racist, death, year"
200,50,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, party, country, muslim, call, language, make, learn, absolutely, insult, time, parliament, leave, poor"
200,100,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, resist, lie, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, idiot, #resist, impeachment, crime"
200,100,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, today, celebrate, call, man, hero, ass, #johnmccaindayjune, long, put, honor, traitor"
200,100,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, make, #cdebate, show, contest, turn, #brexit, vote, time, bother"
200,100,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, west, india, #doctorsstrike, lose, hospital, cm, #savebengal, stand, banerjee"
200,100,5,"icc, shame, #shameonicc, rain, world, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, play, pak, fan"
200,100,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, india, balidaan, wear, desh, #dhonikeeptheglove, cricket, army, #dhonikesaathdesh, dear, #indiawithdhoni, remove, country, support, logo, pakistan"
200,100,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, away, murder, twitter, killer, kill, nicole, find, ron, police, knife, tweet, forget, year, liar"
200,100,8,"douchebag, #douchebag, love, hey, call, make, guy, abuse, work, put, gandi, naali, watch, leave, hypocrite, #gandinaaliabuse, fan, hear, england, congress"
200,100,9,"dickhead, #dickhead, time, guy, continue, turn, fuck, year, write, victim, racist, beat, china, make, call, win, follow, rapist, final, watch"
200,100,10,"rapist, #rapist, rape, child, victim, woman, justice, racist, case, muslim, human, pedophile, act, #rape, sexual, predator, alabama, #racist, death, year"
200,100,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, party, call, country, language, muslim, learn, parliament, insult, elect, make, show, ground, lesson"
