iterations,passes,topic_id,top_words
200,50,7,"douchebag, #douchebag, pakistan, nation, terrorist, love, make, call, fraud, hear, fake, party, term, news, long, scam, guy, sorry, sexual, turn"
200,50,8,"murderer, #murderer, oj, twitter, murder, simpson, kill, follow, killer, find, tweet, #ojsimpson, real, nicole, hell, child, crime, block, ron, god"
200,50,9,"rapist, #rapist, rape, child, woman, victim, law, justice, alabama, abortion, year, case, man, death, religion, hang, racist, bill, #alabama, protect"
200,50,10,"dickhead, #dickhead, make, big, watch, hope, country, time, prime, minute, imran, anti, act, boy, pride, give, serial, lead, dear, level"
200,100,1,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, #doctorsprot, #savethedoctor, mamata, #doctorsstrike, west, medical, #savebengal, india, stand, violence, patient, hospital"
200,100,2,"trump, traitor, #trumpisatraitor, impeach, lie, president, donald, #trump, crime, disgrace, gop, #impeachtrumpnow, resign, criminal, impeachment, idiot, #impeachtrump, day, russia, america"
200,100,3,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, #dhonikeeptheglove, wear, #dhonikesaathdesh, balidaan, army, indian, cricket, #dhoni, worldcup, #indiawithdhoni, dear, stand, balidan"
200,100,4,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, debate, #borisjohnson, leadership, brexit, minister, prime, contest, #cdebate, country, conservative, vote, election, uk, mp, lie"
200,100,5,"icc, shame, #shameonicc, rain, world, match, cricket, worldcup, cwc, cup, #cwc, england, pak, vs, fan, ground, team, india, #iccworldcup, play"
200,100,6,"day, john, mccain, happy, #johnmccainday, june, birthday, father, hero, #happyjohnmccainday, wish, flag, #johnmccaindayjune, loser, draft, today, celebrate, man, spur, bone"
200,100,7,"douchebag, #douchebag, love, call, make, pakistan, fraud, nation, hear, terrorist, fake, term, party, news, scam, turn, guy, pathetic, long, sorry"
200,100,8,"murderer, #murderer, oj, twitter, simpson, murder, follow, kill, killer, tweet, find, real, #ojsimpson, nicole, block, hell, crime, child, ron, god"
200,100,9,"rapist, #rapist, rape, child, woman, victim, justice, law, alabama, abortion, year, case, man, death, racist, religion, hang, bill, protect, #alabama"
200,100,10,"dickhead, #dickhead, big, hope, make, watch, hear, muslim, imran, anti, act, country, prime, lead, give, serial, dear, course, #cdebate, humanity"
