iterations,passes,topic_id,top_words
100,100,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, lie, resist, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, #resist, shit, crime, resign"
100,100,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, today, celebrate, hero, call, #johnmccaindayjune, man, abuse, ass, country, honor, gandi"
100,100,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, #cdebate, make, show, douchebag, contest, #douchebag, #brexit, turn, time"
100,100,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, india, west, lose, #doctorsstrike, hospital, cm, #savebengal, stand, banerjee"
100,100,5,"icc, shame, #shameonicc, world, rain, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, pak, play, #worldcup"
100,100,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, india, balidaan, wear, desh, cricket, army, #dhonikeeptheglove, #dhonikesaathdesh, dear, country, #indiawithdhoni, remove, pakistan, support, logo"
100,100,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, murder, away, twitter, kill, killer, nicole, find, ron, tweet, knife, year, police, man, long"
100,100,8,"douchebag, #douchebag, love, call, hey, abuse, guy, make, work, leave, put, gandi, naali, hypocrite, vote, #gandinaaliabuse, england, congress, pathetic, party"
100,100,9,"dickhead, #dickhead, time, guy, continue, turn, fuck, year, make, write, beat, china, call, follow, racist, final, victim, opinion, give, place"
100,100,10,"rapist, #rapist, rape, child, victim, woman, racist, justice, case, human, act, pedophile, sexual, #rape, alabama, predator, #racist, year, twitter, muslim"
100,100,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, country, call, party, language, muslim, parliament, learn, make, insult, india, show, police, delhi"
200,50,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, resist, lie, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, idiot, #resist, impeachment, crime"
200,50,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, celebrate, today, fuck, call, man, ass, hero, #johnmccaindayjune, put, long, honor"
200,50,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, make, #cdebate, show, contest, turn, #brexit, time, vote, bother"
200,50,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, west, india, #doctorsstrike, lose, hospital, cm, #savebengal, stand, bjp"
200,50,5,"icc, shame, #shameonicc, rain, world, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, play, pak, fan"
200,50,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, balidaan, india, wear, desh, #dhonikeeptheglove, army, cricket, #dhonikesaathdesh, dear, #indiawithdhoni, remove, country, support, logo, pakistan"
200,50,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, away, twitter, murder, killer, kill, nicole, find, ron, knife, police, tweet, forget, year, liar"
200,50,8,"douchebag, #douchebag, love, hey, make, call, guy, abuse, put, work, leave, gandi, naali, hypocrite, england, hear, vote, fan, #gandinaaliabuse, watch"
200,50,9,"dickhead, #dickhead, time, guy, continue, fuck, turn, rapist, write, racist, year, victim, make, #rapist, china, call, win, beat, follow, final"
200,50,10,"rapist, #rapist, rape, child, victim, woman, justice, case, racist, muslim, human, act, pedophile, alabama, #rape, sexual, predator, #racist, death, year"
200,50,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, party, country, muslim, call, language, make, learn, absolutely, insult, time, parliament, leave, poor"
200,100,1,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, impeach, president, resist, lie, donald, america, disgrace, gop, #trump, criminal, #impeachtrumpnow, idiot, #resist, impeachment, crime"
200,100,2,"day, john, mccain, happy, #johnmccainday, june, birthday, father, #happyjohnmccainday, today, celebrate, call, man, hero, ass, #johnmccaindayjune, long, put, honor, traitor"
200,100,3,"boris, johnson, pm, #borisjohnsonshouldnotbepm, #borisjohnson, tory, debate, brexit, leadership, minister, prime, make, #cdebate, show, contest, turn, #brexit, vote, time, bother"
200,100,4,"doctor, back, fight, #doctorsfightback, save, bengal, protest, strike, mamata, #savethedoctor, #doctorsprot, west, india, #doctorsstrike, lose, hospital, cm, #savebengal, stand, banerjee"
200,100,5,"icc, shame, #shameonicc, rain, world, match, cricket, cwc, #cwc, cup, worldcup, england, vs, ground, #icc, plan, #iccworldcup, play, pak, fan"
200,100,6,"dhoni, glove, #dhonikeepstheglove, badge, icc, india, balidaan, wear, desh, #dhonikeeptheglove, cricket, army, #dhonikesaathdesh, dear, #indiawithdhoni, remove, country, support, logo, pakistan"
200,100,7,"murderer, #murderer, oj, simpson, follow, #ojsimpson, away, murder, twitter, killer, kill, nicole, find, ron, police, knife, tweet, forget, year, liar"
200,100,8,"douchebag, #douchebag, love, hey, call, make, guy, abuse, work, put, gandi, naali, watch, leave, hypocrite, #gandinaaliabuse, fan, hear, england, congress"
200,100,9,"dickhead, #dickhead, time, guy, continue, turn, fuck, year, write, victim, racist, beat, china, make, call, win, follow, rapist, final, watch"
200,100,10,"rapist, #rapist, rape, child, victim, woman, justice, racist, case, muslim, human, pedophile, act, #rape, sexual, predator, alabama, #racist, death, year"
200,100,11,"abuse, gandi, naali, #gandinaaliabuse, pm, congress, modi, party, call, country, language, muslim, learn, parliament, insult, elect, make, show, ground, lesson"
100,50,1,"doctor, back, fight, #doctorsfightback, save, bengal, strike, protest, #doctorsprot, #savethedoctor, #doctorsstrike, mamata, medical, west, stand, #savebengal, support, patient, violence, india"
100,50,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, #resisttrump, president, lie, #trump, donald, gop, crime, #impeachtrumpnow, america, idiot, vote, resign"
100,50,3,"day, john, mccain, happy, #johnmccainday, june, hero, #happyjohnmccainday, birthday, #johnmccaindayjuneth, #johnmccaindayjune, dickhead, #dickhead, #johnmcainday, trump, mca, american, deal, chief, liar"
100,50,4,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, #dhonikeeptheglove, #dhonikesaathdesh, indian, #dhoni, wear, army, balidan, balidaan, worldcup, #indiawithdhoni, ms, cricket, stand"
100,50,5,"icc, shame, #shameonicc, world, rain, match, cup, cricket, worldcup, cwc, #cwc, england, pak, india, vs, team, dv, ground, #iccworldcup, year"
100,50,6,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, debate, leadership, brexit, #borisjohnson, minister, prime, country, leader, contest, rory, vote, conservative, party, #boris, lie"
100,50,7,"murderer, #murderer, killer, twitter, oj, murder, simpson, kill, real, follow, life, make, year, #ojsimpson, find, lot, block, die, crime, kid"
100,50,8,"deal, modi, ram, offer, back, jai, save, day, flip, amazing, bengal, #savebengal, amazon, shree, fight, rs, #jaishreeram, #doctorsfightback, discount, #discount"
100,50,9,"douchebag, #douchebag, guy, make, time, level, report, call, hey, read, care, claim, term, continue, kid, love, mueller, lose, poor, reason"
100,50,10,"rapist, #rapist, woman, rape, child, man, justice, fraud, year, law, case, bill, hang, abortion, abuse, alabama, give, girl, #imafraud, protect"
100,100,1,"doctor, back, fight, #doctorsfightback, save, bengal, strike, protest, #doctorsprot, #savethedoctor, #doctorsstrike, mamata, west, medical, stand, support, #savebengal, patient, violence, india"
100,100,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, #resisttrump, president, lie, #trump, donald, gop, #impeachtrumpnow, crime, america, idiot, resign, vote"
100,100,3,"day, john, mccain, happy, #johnmccainday, june, hero, birthday, #happyjohnmccainday, murderer, #murderer, #johnmccaindayjuneth, #johnmccaindayjune, dickhead, #dickhead, #johnmcainday, mca, american, flag, deal"
100,100,4,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, #dhonikeeptheglove, #dhonikesaathdesh, indian, #dhoni, wear, army, balidan, balidaan, worldcup, #indiawithdhoni, ms, cricket, stand"
100,100,5,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, debate, leadership, brexit, #borisjohnson, minister, prime, country, leader, contest, rory, vote, conservative, party, #boris, lie"
100,100,6,"icc, shame, #shameonicc, world, rain, match, cricket, cup, worldcup, cwc, #cwc, england, pak, india, vs, team, dv, ground, #iccworldcup, year"
100,100,7,"murderer, #murderer, killer, twitter, murder, oj, real, simpson, kill, follow, year, life, china, make, find, #ojsimpson, lot, crime, block, boycott"
100,100,8,"deal, modi, ram, offer, back, jai, save, day, flip, amazing, bengal, amazon, #savebengal, shree, rs, fight, #jaishreeram, discount, #doctorsfightback, #offer"
100,100,9,"douchebag, #douchebag, guy, make, time, report, level, hey, call, read, continue, care, kid, pride, term, claim, lose, poor, love, mueller"
100,100,10,"rapist, #rapist, rape, woman, child, man, justice, fraud, year, law, case, hang, bill, abortion, give, alabama, #imafraud, girl, abuse, protect"
200,50,1,"doctor, back, fight, #doctorsfightback, save, bengal, strike, protest, #doctorsprot, #savethedoctor, #doctorsstrike, medical, mamata, west, stand, patient, #savebengal, violence, support, india"
200,50,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, #resisttrump, lie, president, #trump, donald, gop, crime, vote, #impeachtrumpnow, america, blue, idiot"
200,50,3,"day, john, mccain, happy, #johnmccainday, june, hero, birthday, #happyjohnmccainday, #johnmccaindayjuneth, #johnmccaindayjune, dickhead, #dickhead, deal, mca, #johnmcainday, traitor, fraud, #trumpisatraitor, american"
200,50,4,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, #dhonikeeptheglove, #dhonikesaathdesh, indian, #dhoni, wear, army, balidan, balidaan, worldcup, #indiawithdhoni, ms, cricket, support"
200,50,5,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, debate, leadership, brexit, #borisjohnson, minister, prime, country, contest, leader, vote, rory, conservative, party, #cdebate, time"
200,50,6,"icc, shame, #shameonicc, world, rain, match, cricket, worldcup, cwc, cup, #cwc, england, pak, india, vs, team, dv, ground, #iccworldcup, fan"
200,50,7,"murderer, #murderer, oj, killer, twitter, murder, simpson, real, kill, follow, year, #ojsimpson, find, life, make, god, crime, lot, block, nicole"
200,50,8,"deal, modi, ram, offer, jai, day, back, save, flip, amazing, amazon, #savebengal, shree, bengal, rs, #jaishreeram, discount, #offer, #deal, #amazon"
200,50,9,"douchebag, #douchebag, make, guy, report, read, call, time, real, hit, fake, city, reason, love, kid, china, away, term, claim, choose"
200,50,10,"rapist, #rapist, rape, woman, child, fraud, man, justice, law, year, pakistan, bill, alabama, hang, #imafraud, girl, congress, protect, india, abortion"
200,100,1,"doctor, back, fight, #doctorsfightback, save, bengal, strike, protest, #doctorsprot, #savethedoctor, #doctorsstrike, medical, mamata, west, stand, violence, patient, #savebengal, support, india"
200,100,2,"trump, fuck, #fucktrump, traitor, #trumpisatraitor, resist, impeach, #resist, #resisttrump, president, lie, #trump, donald, gop, vote, crime, #impeachtrumpnow, america, blue, resign"
200,100,3,"day, john, mccain, happy, #johnmccainday, june, hero, birthday, #happyjohnmccainday, #johnmccaindayjuneth, murderer, #murderer, #johnmccaindayjune, dickhead, #dickhead, #johnmcainday, mca, deal, american, fraud"
200,100,4,"dhoni, glove, #dhonikeepstheglove, india, icc, badge, desh, #dhonikeeptheglove, #dhonikesaathdesh, indian, #dhoni, wear, army, balidan, balidaan, worldcup, #indiawithdhoni, ms, cricket, support"
200,100,5,"boris, johnson, pm, #borisjohnsonshouldnotbepm, tory, debate, leadership, brexit, #borisjohnson, minister, prime, country, leader, contest, vote, rory, conservative, party, #cdebate, #boris"
200,100,6,"icc, shame, #shameonicc, world, rain, match, cricket, cwc, worldcup, cup, #cwc, england, pak, india, vs, team, dv, ground, #iccworldcup, fan"
200,100,7,"murderer, #murderer, oj, killer, twitter, murder, simpson, real, kill, follow, find, #ojsimpson, year, make, god, life, crime, lot, block, book"
200,100,8,"deal, modi, ram, offer, jai, back, day, save, flip, amazing, #savebengal, amazon, shree, bengal, rs, #jaishreeram, discount, fight, kart, #offer"
200,100,9,"douchebag, #douchebag, make, guy, report, call, read, time, fake, hit, reason, city, real, kid, love, china, claim, wonder, term, choose"
200,100,10,"rapist, #rapist, woman, rape, child, man, justice, fraud, abuse, year, law, protect, hang, bill, case, give, #imafraud, congress, girl, alabama"
