K,topic_id,words
15,14,"tit, slag, protestant, outright, peasant, trashy, sculpture, state, harvard, #horny"
20,0,"cunt, slapper, gangbange, opinion, daring, trashy, olive, tobey, aka, home"
20,1,"trophy, beautiful, wife, call, kiddo, sculpture, bedroom, grip, thumb, peak"
20,2,"skank, attractive, slutbag, suck, foul, pillow, anti, improvement, kidnap, extreme"
20,3,"cock, deserve, ipc, hijab, fucking, follow, suicide, carousel, fandom, kindle"
20,4,"girl, ass, pathfinder, suspend, different, #wank, grave, gentleman, adventure, cia"
20,5,"world, victim, marry, outcome, resentful, feeling, drool, bend, isaac, #god"
20,6,"dumb, blonde, star, privacy, gogo, kangana, jesse, iranian, note, susanna"
20,7,"prostitute, immigration, protestant, slut, agency, borough, #poprock, bruce, rae, xi"
20,8,"family, slapper, queer, niggas, fantasy, cishet, repressed, shang, heavy, blooded"
20,9,"spin, system, exclude, cis, thot, dress, delicious, usage, jecha, athlete"
20,10,"gold, digger, anal, fight, lily, perpetual, slut, hostage, arse, richy"
20,11,"shit, manspreading, indian, sexual, kelly, poc, jc, organize, corvette, pain"
20,12,"bitch, night, cripple, #covid, dempsey, mrs, community, accent, cuz, ten"
20,13,"make, latex, beautiful, long, airtel, rubber, mam, ker, fish, #airtel"
20,14,"whore, tit, slag, pregnant, peasant, memory, adaptation, scam, submit, intention"
20,15,"short, skirt, feminazi, twitter, lpf, burp, normandie, believe, human, jimin"
20,16,"#notallman, feminazi, burden, amp, emotionally, excited, peter, #wife, hate, dressup"
20,17,"feminism, misandry, podcast, senate, raven, pearl, british, stem, heal, redneck"
20,18,"slutbag, free, gangbange, expect, hate, futa, abiy, psych, ter, unfunny"
20,19,"fuck, love, father, kid, ein, gerard, bursar, coz, spiritual, silence"
