run_id,K,topic_id,words
5,8,6,"boss, reporter, sculpture, foul, stand, lynch, hoseok, xi, pharmacy, rekt"
5,8,7,"immigration, burden, legal, raven, anal, ee, denim, owen, mood, lily"
6,8,0,"woman, man, year, love, girl, fuck, ass, understand, slutbag, attractive"
6,8,1,"woman, man, girl, year, dumb, misandry, ipc, tattoo, sweetie, bff"
6,8,2,"woman, man, year, girl, skank, pathankot, airtel, unwell, comin, currency"
6,8,3,"woman, man, girl, year, wife, tit, trophy, slut, spin, short"
6,8,4,"woman, man, girl, year, cock, idiot, tit, hijab, sculpture, lpf"
6,8,5,"woman, man, bitch, girl, year, gold, digger, tit, gangbange, land"
6,8,6,"woman, man, girl, year, whore, slapper, gangbange, latex, cunt, rape"
6,8,7,"woman, man, girl, year, #notallman, patriarchy, fuck, attractive, authority, denim"
7,8,0,"spank, lpf, ellen, dum, cultural, maturity, whitley, bun, merit, semua"
7,8,1,"gangbange, penalty, trailer, mazepin, dressup, childless, bike, libertarian, hook, corvette"
7,8,2,"latex, spin, house, rubber, marital, ninja, oregon, trait, cia, redneck"
7,8,3,"cook, argument, gaming, sculpture, futa, anime, borough, #book, ross, kobold"
7,8,4,"hijab, immigration, fandom, yadda, avoid, deserve, room, susanna, ato, woe"
7,8,5,"arteta, bonnet, xi, #krp, celly, rton, florida, behalf, scottsdale, clinic"
7,8,6,"biological, advice, slapper, drip, peasant, raven, august, mansplainer, #airtel, address"
7,8,7,"ipc, manspreading, boyfriend, coz, katja, slavery, matter, rimsky, implant, intention"
8,8,0,"woman, man, tit, sodomize, risk, available, respect, suddenly, lpf, privacy"
8,8,1,"woman, man, understand, fr, gerard, head, mitch, christmas, oil, yadda"
8,8,2,"woman, man, whore, skank, lose, gangbange, job, car, grow, hijab"
8,8,3,"woman, man, desi, latex, slutbag, raven, immigration, rubber, harvard, lmaooo"
8,8,4,"woman, man, cock, slut, desi, ass, block, circle, ein, card"
8,8,5,"woman, man, love, digger, gold, blonde, spin, manspreading, call, twitter"
8,8,6,"woman, man, bitch, #notallman, pregnant, slapper, feminazi, ipc, deserve, month"
8,8,7,"woman, man, trophy, fuck, wife, slag, white, mouth, nigerian, wonder"
9,8,0,"yadda, omah, furniture, vaccinate, lynch, possibly, tem, jc, assemble, corvette"
9,8,1,"shitty, raven, #muscle, gogo, intention, #mi, iraq, louder, khilafah, wars"
9,8,2,"attractive, ipc, fandom, gift, sell, boxing, sculpture, disparage, request, #sculpture"
9,8,3,"futa, peasant, judean, moxxy, pope, implant, redneck, ec, harlot, motorist"
9,8,4,"fame, fukn, mam, #ibelieveher, psych, cook, midnight, rod, kangna, techie"
9,8,5,"skank, burden, advise, airtel, ein, ato, block, bursar, lily, mile"
9,8,6,"latex, manspreading, rubber, pathfinder, mv, mansplaine, libertarian, kobold, secret, hook"
9,8,7,"tit, digger, foul, immigration, lpf, dnf, lev, dempsey, cia, scotland"
10,8,0,"woman, man, make, wife, spin, mansplaine, immigration, pathfinder, af, disrespectful"
10,8,1,"woman, man, make, love, gold, digger, fuck, dumb, slapper, blonde"
10,8,2,"woman, man, make, feminism, ugly, beautiful, understand, slapper, pretend, burden"
10,8,3,"woman, man, make, bitch, fuck, whore, #notallman, slag, futa, bath"
10,8,4,"woman, man, make, cock, tit, cunt, manspreading, yadda, sculpture, foul"
10,8,5,"woman, man, make, misandry, gangbange, head, ein, squirt, fire, fandom"
10,8,6,"woman, man, make, hate, latex, card, prostitute, drink, rubber, stay"
10,8,7,"woman, man, make, skank, goalkeeper, alpha, trophy, peasant, gerard, temple"
11,8,0,"caption, ein, pathfinder, single, kobold, whitley, inclusive, girl, khloe, rpg"
11,8,1,"gold, digger, ipc, subscribe, loser, schumer, polish, hockey, gon, incharge"
11,8,2,"skank, weird, yadda, lolbertarian, mhm, sero, number, ee, extreme, #jacket"
11,8,3,"chicken, gerard, futa, clothe, puritan, onlyfan, ninja, rton, esp, celly"
11,8,4,"gangbange, foul, member, peasant, motorist, meth, mansplainer, bh, lev, stunning"
11,8,5,"latex, military, rubber, occasionally, lily, ai, literature, spiritual, krueger, police"
11,8,6,"norm, sculpture, lpf, airtel, merit, willie, woe, techie, #etsy, jecha"
11,8,7,"slapper, immigration, live, eu, elite, lock, richy, fukn, kick, hookup"
12,8,0,"woman, man, skank, slapper, free, manspreade, force, nice, nsfw, pillow"
12,8,1,"woman, man, spin, ass, love, sodomize, fuck, story, spank, raven"
12,8,2,"woman, man, gold, slutbag, slag, digger, different, time, real, #womensright"
12,8,3,"woman, man, bitch, #notallman, hate, deserve, dumb, prostitute, waste, guy"
12,8,4,"woman, man, hate, love, hey, house, ugly, fuck, ipc, put"
12,8,5,"woman, man, trophy, damage, face, make, pull, futa, yummy, truth"
12,8,6,"woman, man, cock, whore, attractive, latex, manspreading, sit, shop, lady"
12,8,7,"woman, man, bitch, gangbange, bint, mgtow, night, debate, lot, bone"
13,10,0,"foul, high, schumer, mile, bath, blooded, gordon, persona, coz, harlot"
13,10,1,"ipc, ein, ninja, pendent, government, #muscle, #marriage, kiddo, penetration, pope"
13,10,2,"yadda, raven, peasant, thirsty, url, louder, jc, rapper, unfunny, happen"
13,10,3,"slapper, organize, shang, slapping, bitcoin, merit, athlete, sixteen, wars, frou"
13,10,4,"tit, hezekiah, fish, mansplainer, #womensfashion, fw, scottsdale, katja, sagittarius, wh"
13,10,5,"digger, lpf, burden, lily, #chudai, ross, normandie, sabi, huff, #desislut"
13,10,6,"soup, furniture, kindle, dosanjh, dressup, vw, movement, #krp, ily, krueger"
13,10,7,"deal, gerard, immigration, pathfinder, harapan, #racism, sample, kingdom, athletic, snack"
13,10,8,"trophy, #jacket, willie, childless, comin, ravana, ec, backin, mam, uh"
13,10,9,"latex, airtel, rubber, polish, nw, libertarian, ai, cia, envy, exact"
14,10,0,"woman, man, bitch, feminazi, dr, bedroom, burden, idea, normandie, ninja"
14,10,1,"woman, man, cock, immigration, suppose, futa, doctor, brainwash, officer, arteta"
14,10,2,"woman, man, whore, slut, latex, rubber, online, gerard, sculpture, pro"
14,10,3,"woman, man, skank, gangbange, cock, cook, cum, podcast, mustache, boxing"
14,10,4,"woman, man, hate, slutbag, hope, fandom, delicious, beyonce, hype, mansplainer"
14,10,5,"woman, man, digger, gold, trophy, sexual, wife, training, lpf, set"
14,10,6,"woman, man, love, misandry, skirt, bitch, raven, history, slag, #onlyfan"
14,10,7,"woman, man, slapper, spin, gender, yadda, disparage, jc, billie, tobey"
14,10,8,"woman, man, tit, manspreading, ass, skirt, cock, fuck, short, young"
14,10,9,"woman, man, ipc, #notallman, kelly, gracious, mom, mhm, fw, guide"
15,10,0,"slutbag, foul, launch, beyonce, transsexual, coz, cheerleader, #muscle, iranian, sabi"
15,10,1,"airtel, foot, bg, naseeha, nw, dread, garret, wars, thirsty, teacher"
15,10,2,"skank, envy, equation, cowboy, storm, cookie, snatch, classic, pursue, judean"
15,10,3,"slut, kiddo, jesse, mile, august, polish, pundit, blooded, palm, crash"
15,10,4,"burden, nigerian, elder, tattoo, penetration, fair, literature, erection, tobey, media"
15,10,5,"slapper, digger, pronoun, raven, jimin, futa, sculpture, lpf, cia, #god"
15,10,6,"yadda, fandom, immigration, twitter, peasant, richy, tree, iphone, mountain, parent"
15,10,7,"pathfinder, home, skimpy, dempsey, shang, harass, femininity, schumer, dnf, fukn"
15,10,8,"latex, neck, diaper, aurora, #cock, susanna, harlot, assemble, bint, wilson"
15,10,9,"ipc, prostitute, #hornyaf, anal, ein, persona, bursar, rae, freak, coochie"
16,10,0,"woman, man, bitch, friend, makeup, dad, ball, fandom, plan, case"
16,10,1,"woman, man, digger, gold, desi, kill, theory, clean, lpf, harvard"
16,10,2,"woman, man, tit, slapper, slut, blonde, ugly, #notallman, ipc, dumb"
16,10,3,"woman, man, bitch, slag, sister, stay, raven, cheat, ga, cia"
16,10,4,"woman, man, slutbag, gangbange, ass, latex, call, free, hip, chastity"
16,10,5,"woman, man, wife, trophy, horny, #porn, pathfinder, mitch, mansplaining, xbox"
16,10,6,"woman, man, skank, cock, comedian, burden, peasant, worker, sculpture, pic"
16,10,7,"woman, man, spin, fucking, laugh, entrepreneurship, futa, bint, reward, store"
16,10,8,"woman, man, beautiful, feminism, skirt, misandry, mutually, anal, opinion, immigration"
16,10,9,"woman, man, whore, hate, away, dey, qatar, body, yadda, ein"
17,10,0,"rude, peasant, fact, airtel, insult, lynch, hostage, special, preach, dum"
17,10,1,"ipc, sculpture, grateful, foul, strengthen, hook, notorious, nan, isaac, mag"
17,10,2,"ein, pathfinder, grave, #ibelieveher, ato, dempsey, bursar, train, ijs, dream"
17,10,3,"attention, raven, burden, digger, owen, diljit, judean, polish, ground, kangana"
17,10,4,"futa, yadda, implant, gogo, truth, ageof, borough, cowboy, xi, bh"
17,10,5,"lock, digger, friend, lolbertarian, athlete, houllier, ellen, cheeky, conservatism, libertarian"
17,10,6,"immigration, arteta, usage, tear, #jacket, mile, shang, citizenship, warming, hoseok"
17,10,7,"community, blooded, corporation, tobey, lev, verbally, #god, khloe, organize, recover"
17,10,8,"latex, manspreading, rubber, pee, penetration, huff, gatekeeper, childless, ily, woe"
17,10,9,"outright, techie, thumb, tin, sabi, #wife, kindle, discuss, disease, backin"
18,10,0,"woman, man, skirt, short, honestly, foul, gerard, peasant, dictator, intention"
18,10,1,"woman, man, bitch, slutbag, kill, suppose, manspreade, forest, lmaooo, distress"
18,10,2,"woman, man, sit, manspreading, honey, fandom, pregnant, virus, burden, sculpture"
18,10,3,"woman, man, digger, gold, blonde, feminism, country, privacy, cave, plastic"
18,10,4,"woman, man, deserve, make, hate, latex, play, person, hahaha, rubber"
18,10,5,"woman, man, feminism, slapper, hate, lie, ein, repress, bha, sibling"
18,10,6,"woman, man, skank, girl, absolute, jimin, immigration, ily, ps, naseeha"
18,10,7,"woman, man, spin, jacket, queer, nygard, bedroom, satisfy, barely, homeless"
18,10,8,"woman, man, prostitute, tit, #notallman, pussy, whore, bitch, digger, nsfw"
18,10,9,"woman, man, love, cock, whore, slag, ass, gangbange, make, horny"
19,10,0,"fukn, relationship, beauty, moxxy, gatekeeper, sudden, obey, cheerleader, childless, minx"
19,10,1,"gangbange, yadda, peasant, asian, khloe, semua, corvette, unborn, fish, diljit"
19,10,2,"cishet, goddess, pathfinder, grenell, dempsey, kobold, vw, #garvmpharma, boy, ireland"
19,10,3,"slapper, ein, hear, ato, rent, gender, stella, #walkaway, result, disorder"
19,10,4,"court, rich, immigration, game, lpf, cheeky, rip, harapan, snatch, hookup"
19,10,5,"cus, lev, stimulate, amazon, rub, london, implant, accent, colourful, fw"
19,10,6,"manspreading, abiy, tail, heaven, sero, organize, harlot, outta, libertarian, houllier"
19,10,7,"ipc, fashion, foul, futa, raven, nutrition, valproate, xi, blackout, omah"
19,10,8,"digger, #patriarchy, latex, fear, future, sculpture, airtel, rubber, #sculpture, motorist"
19,10,9,"skank, frou, lily, raymond, #book, cowboy, akgae, literature, rona, thirsty"
20,10,0,"woman, man, whore, latex, movie, gangbange, age, relationship, gaming, blood"
20,10,1,"woman, man, gold, digger, slut, tit, slapper, guy, pussy, sir"
20,10,2,"woman, man, ass, trophy, airtel, peasant, raven, sociopath, cool, nut"
20,10,3,"woman, man, fat, find, ipc, instead, #cock, sculpture, victim, honey"
20,10,4,"woman, man, bitch, cock, slutbag, pro, #genderequality, alien, review, congrat"
20,10,5,"woman, man, guilt, veteran, pay, lpf, senate, yadda, bash, abiy"
20,10,6,"woman, man, skank, twitter, run, pregnant, dictator, bath, strike, moxxy"
20,10,7,"woman, man, love, misandry, blonde, ein, strengthen, fandom, speak, gerard"
20,10,8,"woman, man, slag, spin, sexual, queer, yummy, arse, delicious, fact"
20,10,9,"woman, man, overlook, tit, jimin, futa, immigration, gray, sweetheart, #justice"
21,10,0,"digger, defend, peasant, susanna, antiwhite, dum, athlete, jecha, louder, lily"
21,10,1,"sculpture, lev, narcissist, rae, huff, #wife, fukn, ungrateful, normandie, carbon"
21,10,2,"girl, slutbag, snatch, pursue, vanessa, backin, dosanjh, unfunny, borough, kangana"
21,10,3,"skank, lpf, coz, iphone, sixteen, incharge, corvette, ninja, intention, zeus"
21,10,4,"ipc, ein, gerard, airtel, put, honk, literature, ee, akgae, cruel"
21,10,5,"tit, jacket, burden, raven, pathfinder, mhm, delicious, dnf, gatekeeper, stifle"
21,10,6,"latex, yadda, rubber, immigration, pendent, tease, aluminum, feels, hezekiah, fool"
21,10,7,"queer, decision, moxxy, katja, implant, khilafah, pope, soapy, pity, harapan"
21,10,8,"slapper, foul, oppressive, fandom, hockey, vicious, wen, sunday, london, comedian"
21,10,9,"futa, odd, gogo, rimsky, slavery, #god, mary, trailer, assemble, cowboy"
22,10,0,"woman, man, feminazi, ipc, start, feminist, side, gerard, clutch, sample"
22,10,1,"woman, man, beautiful, slapper, slag, educate, taylor, yadda, sculpture, bha"
22,10,2,"woman, man, ass, gold, digger, girl, subject, squirt, gatekeeper, pal"
22,10,3,"woman, man, whore, video, act, cus, militia, civilian, harvard, sunga"
22,10,4,"woman, man, bitch, skank, spank, housewife, fandom, airways, diljit, supporter"
22,10,5,"woman, man, slut, gangbange, shut, lpf, futa, raven, reckon, #ibelieveher"
22,10,6,"woman, man, hate, crime, strengthen, travel, airtel, ein, bun, valproate"
22,10,7,"woman, man, wife, trophy, back, #covid, burden, recognize, yoongi, peasant"
22,10,8,"woman, man, head, biden, prostitute, feminism, foul, immigration, cia, #mi"
22,10,9,"woman, man, love, slutbag, latex, indian, movie, rubber, pathfinder, accord"
23,10,0,"ass, marginalized, fandom, lpf, ninja, childless, ravana, mag, psych, xi"
23,10,1,"futa, gerard, immigration, anime, houllier, gojou, sabi, boo, cowboy, sud"
23,10,2,"sex, raven, cus, sculpture, bedroom, ein, bursar, burp, tattoo, katja"
23,10,3,"gatekeeper, sabotage, ps, mail, assemble, officer, sunga, degrading, pregnant, accent"
23,10,4,"peasant, bff, airtel, aspire, eu, whitley, willie, cia, dick, dum"
23,10,5,"manspreading, spin, foul, loose, vw, rae, xbox, ily, harlot, isaac"
23,10,6,"ipc, manage, dread, redneck, libertarian, #krp, sample, specify, shang, sammy"
23,10,7,"tease, latex, rubber, slapping, incharge, dnf, hockey, bun, camel, #jacket"
23,10,8,"slapper, pathfinder, burden, slavery, kobold, running, blooded, wild, deem, kangna"
23,10,9,"thumb, baby, bitcoin, #ibelieveher, acquit, pursue, sagittarius, unfunny, schumer, piece"
24,10,0,"woman, man, skank, slutbag, latex, gangbange, bitch, foul, ein, burden"
24,10,1,"woman, man, mansplaining, airtel, picture, hold, raymond, ik, dm, #marriage"
24,10,2,"woman, man, digger, gold, victim, #notallman, fandom, room, peasant, jimin"
24,10,3,"woman, man, slag, business, hate, sex, grab, pathfinder, fine, hormone"
24,10,4,"woman, man, make, blonde, #notallman, end, feminist, part, easy, night"
24,10,5,"woman, man, whore, trophy, prostitute, oppressive, proud, amazing, face, nygard"
24,10,6,"woman, man, tit, cunt, grab, misandry, slapper, hate, base, boyfriend"
24,10,7,"woman, man, cock, skirt, love, bitch, pronoun, ipc, slapper, match"
24,10,8,"woman, man, slut, beautiful, sodomize, wait, sexist, anal, fuck, sir"
24,10,9,"woman, man, gaming, race, tail, dms, motivation, chew, crown, definition"
25,12,0,"breath, rip, conversation, anime, url, hoseok, jc, psych, vw, garret"
25,12,1,"sculpture, fw, shawl, profit, sabotage, bha, outright, rimsky, prefer, ee"
25,12,2,"slapper, lpf, burden, ein, dis, barefoot, dempsey, borough, akgae, kr"
25,12,3,"skank, latex, futa, rubber, airtel, coz, beginning, scottsdale, ellen, #airtel"
25,12,4,"ipc, play, bedroom, cus, mans, bg, doxxe, dressup, wars, tobey"
25,12,5,"slag, misandry, semua, implant, idea, huff, kangna, #ibelieveher, bitcoin, flee"
25,12,6,"bint, head, angel, sixteen, isaac, judean, stimulate, celly, sabi, lawyer"
25,12,7,"hijab, raven, pharmacy, slapping, houllier, intention, gi, #wife, payment, schumer"
25,12,8,"hate, privacy, pathfinder, kangana, pope, furniture, smh, naseeha, chicken, childless"
25,12,9,"immigration, susanna, ugly, grenell, tend, sexualize, series, ily, reporter, cowboy"
25,12,10,"yadda, motorist, jesse, rae, garbage, dnf, window, ker, lana, lynch"
25,12,11,"problem, transsexual, dum, dread, doc, eu, sister, biologically, pendent, examiner"
26,12,0,"woman, man, skank, misandry, racist, slag, pillow, creature, yadda, live"
26,12,1,"woman, man, bitch, #notallman, slutbag, ipc, kiddo, believe, comedian, burden"
26,12,2,"woman, man, whore, short, cunt, make, jimin, disparage, tem, soup"
26,12,3,"woman, man, trophy, wife, gangbange, tit, pathfinder, raven, lpf, louder"
26,12,4,"woman, man, slapper, ass, nice, fuck, free, table, reporter, peasant"
26,12,5,"woman, man, put, breast, prostitute, center, accent, americans, childless, ravana"
26,12,6,"woman, man, beautiful, latex, anal, smart, rubber, clown, trade, lily"
26,12,7,"woman, man, love, day, boy, feminazi, cute, yaoi, sculpture, blonde"
26,12,8,"woman, man, attractive, nature, foul, thirsty, corporate, militia, akgae, hostage"
26,12,9,"woman, man, gold, cock, digger, block, ardent, scottsdale, shang, houllier"
26,12,10,"woman, man, slag, skank, view, futa, ein, krueger, fee, minx"
26,12,11,"woman, man, hate, shut, tit, taylor, immigration, rubina, defeat, pity"
27,12,0,"gaming, business, immigration, raven, stunning, nan, yh, examiner, feminazi, mazepin"
27,12,1,"ein, squirt, bra, xbox, mansplaining, stella, bg, slavery, intention, envy"
27,12,2,"gold, digger, loujain, minimum, literature, richy, whitley, lev, forcibly, athlete"
27,12,3,"slutbag, pathfinder, fella, wm, comin, acquit, sunga, exclude, jecha, marginalized"
27,12,4,"#cumtribute, sculpture, moment, peasant, manifest, lpf, decor, mag, url, guilt"
27,12,5,"latex, beautiful, rubber, pursue, kr, khilafah, tem, hockey, unwanted, omah"
27,12,6,"town, airtel, burden, bitcoin, #airtel, pride, ross, mansplainer, ai, transsexual"
27,12,7,"foul, dum, cheerleader, goat, hater, sammy, ily, commit, scottsdale, #muscle"
27,12,8,"grenell, xi, harlot, dis, penetration, disgrace, mam, #book, explain, defend"
27,12,9,"skank, manspreading, beer, rid, teacher, merry, soapy, hiv, civil, occasionally"
27,12,10,"helen, fandom, yadda, yaoi, dressup, schumer, fukn, iphone, gojou, trailer"
27,12,11,"slapper, misandry, ipc, suddenly, futa, #bigcockslover, #dpme, #gangbange, cocks, unlimited"
28,12,0,"woman, man, slut, #notallman, bint, immigration, senate, constantly, blowjob, psych"
28,12,1,"woman, man, love, niggas, yadda, airtel, gather, raven, #book, promotion"
28,12,2,"woman, man, skirt, trust, soapy, bg, jc, senate, eu, alien"
28,12,3,"woman, man, bitch, skank, jacket, daughter, yer, attractive, check, fandom"
28,12,4,"woman, man, repress, gerard, spin, bloke, suspend, biden, sabi, houllier"
28,12,5,"woman, man, desi, latex, sculpture, rubber, tempt, pillow, sentient, gojou"
28,12,6,"woman, man, tit, ass, misandry, bedroom, town, foul, sir, hot"
28,12,7,"woman, man, life, feminazi, female, peasant, mad, harvard, psychic, mansplainer"
28,12,8,"woman, man, cock, gold, digger, slapper, slutbag, ipc, follow, mother"
28,12,9,"woman, man, desi, work, part, ugly, indian, burden, mazepin, lpf"
28,12,10,"woman, man, whore, wife, trophy, ass, hot, feminist, kelly, #man"
28,12,11,"woman, man, happen, futa, wage, #mi, ec, wig, owen, square"
29,12,0,"ein, worry, anal, raymond, kr, wars, akgae, cheerleader, ato, ellen"
29,12,1,"role, gerard, sculpture, man, kayleigh, krueger, grenell, pendent, mam, michael"
29,12,2,"gold, rubber, normalize, hindu, comin, gatekeeper, jecha, stunning, blooded, sunga"
29,12,3,"fandom, hook, anime, dictator, khilafah, bh, eu, surround, spiritual, celly"
29,12,4,"slag, live, lynch, package, organize, nan, honey, furniture, penetration, naseeha"
29,12,5,"ass, athlete, rae, literature, implant, colourful, fukn, psych, hurry, cheeky"
29,12,6,"immigration, lpf, august, judean, different, tribe, shawl, jesse, blackout, sixteen"
29,12,7,"tit, raven, airtel, ec, box, pharmacy, #airtel, nw, denim, aluminum"
29,12,8,"skank, slutbag, diljit, japan, kangana, cowboy, tv, dempsey, #god, kangna"
29,12,9,"slapper, ipc, burden, coz, inept, libertarian, scottsdale, sero, sample, katja"
29,12,10,"home, futa, #book, determine, motorist, grinch, dread, ross, goat, morally"
29,12,11,"peasant, adopt, london, tem, #muscle, slavery, bg, ninja, techie, willie"
30,12,0,"woman, man, slag, gangbange, pathfinder, anal, lmfao, america, zeus, kobold"
30,12,1,"woman, man, slapper, manspreading, ipc, cook, dms, picture, porn, ugly"
30,12,2,"woman, man, feminism, kill, fandom, dictator, immigration, assign, bros, fella"
30,12,3,"woman, man, hate, prostitute, girl, grab, horrible, movement, sagittarius, whip"
30,12,4,"woman, man, short, skirt, futa, implant, cia, hostage, travel, lev"
30,12,5,"woman, man, cunt, slutbag, fact, drive, jacket, age, flash, taylor"
30,12,6,"woman, man, skank, latex, free, invalidate, rubber, wake, empower, tight"
30,12,7,"woman, man, year, crazy, yadda, harris, crucial, catholic, transition, jecha"
30,12,8,"woman, man, tit, ass, trophy, slut, beautiful, hot, peasant, wife"
30,12,9,"woman, man, forget, case, daring, foul, waitress, construct, #mi, brow"
30,12,10,"woman, man, gold, digger, mind, ein, leftist, #gamergate, bursar, grinch"
30,12,11,"woman, man, bitch, cock, whore, attractive, #notallman, dad, airtel, lpf"
31,12,0,"ein, peasant, ato, reporter, meme, yummy, intention, misogyny, #tbt, #book"
31,12,1,"dum, slapping, ross, mile, abiy, growth, dread, aluminum, literature, conceal"
31,12,2,"regime, piss, scottsdale, louder, backin, trailer, gojou, mag, houllier, blackout"
31,12,3,"latex, burden, #misogyny, pal, goal, huff, forest, delicious, #racism, coz"
31,12,4,"sculpture, form, normandie, angel, dressup, hindu, #man, gordon, destroy, premier"
31,12,5,"lpf, fandom, distress, #mi, ec, kr, cheerleader, anime, vice, incharge"
31,12,6,"threaten, length, futa, win, gently, harapan, khloe, #ibelieveher, deep, khilafah"
31,12,7,"slapper, manspreade, owen, comedian, lawyer, url, ft, raymond, physique, denim"
31,12,8,"cunt, arse, razor, sabi, specific, pursue, grinch, dempsey, bha, fw"
31,12,9,"attractive, foul, airtel, hezekiah, beyonce, thirsty, china, resentful, dnf, necessity"
31,12,10,"slutbag, yadda, pork, publication, ily, ounce, bh, isaac, tobey, katja"
31,12,11,"digger, gold, ipc, sodomize, pathfinder, privacy, invalidate, immigration, kobold, #marriage"
32,12,0,"woman, man, cock, tit, powerful, dead, real, ugly, twitter, racist"
32,12,1,"woman, man, sex, hillary, reporter, raven, early, perception, relationship, trailer"
32,12,2,"woman, man, #notallman, slutbag, pound, unborn, solid, lady, usage, total"
32,12,3,"woman, man, find, year, slapper, sexual, mutually, full, oil, pillow"
32,12,4,"woman, man, bitch, slapper, indian, fact, presence, woe, ninja, shallow"
32,12,5,"woman, man, trophy, fuck, wife, manspreading, happen, trust, thread, oil"
32,12,6,"woman, man, skank, gangbange, beautiful, cunt, unlimited, kindle, task, beginning"
32,12,7,"woman, man, gold, digger, blame, feminazi, black, misandry, cos, gaming"
32,12,8,"woman, man, dumb, blonde, enjoy, ipc, skirt, fake, pathfinder, ein"
32,12,9,"woman, man, whore, army, marry, lick, rod, eu, slapping, ik"
32,12,10,"woman, man, love, attractive, whore, peasant, wars, neoliberal, susanna, wish"
32,12,11,"woman, man, latex, whore, time, gate, futa, rubber, airtel, single"
33,12,0,"gold, pillow, pant, bed, weapon, hookup, xi, slapping, sh, wars"
33,12,1,"skank, yadda, techie, richy, nudity, hostage, #book, payment, libertarian, polish"
33,12,2,"cus, pathfinder, immigration, #ibelieveher, jesse, michael, owen, kobold, palm, grinch"
33,12,3,"ein, lolbertarian, rimsky, lawyer, childless, stella, character, edit, #sculpture, semua"
33,12,4,"big, snake, gordon, grenell, lmaooo, omah, #hornymilf, judean, trailer, examiner"
33,12,5,"slapper, slag, ipc, sero, #god, #krp, kr, fw, graphic, bridge"
33,12,6,"latex, rubber, #wife, ily, florida, huff, cia, gojou, louder, scottsdale"
33,12,7,"peasant, jimin, sample, nan, peak, dempsey, kangna, anime, dictator, hindus"
33,12,8,"futa, airtel, #airtel, iphone, nw, bha, furniture, frou, suspend, wen"
33,12,9,"spin, ec, raymond, hook, bg, redneck, plan, compare, #nude, dosanjh"
33,12,10,"raven, king, black, def, normandie, schumer, mansplainer, forest, vw, khilafah"
33,12,11,"fandom, foul, burden, mam, spiritual, outright, #penis, backin, psych, #sex"
